9 1:0.638967 2:0.826823 3:1.16036 4:0.187539 5:1.50278 6:0.32638 7:1.79349 8:0.412241 9:2.19959 10:0.42041 11:0.257664 12:0.39688 13:0.670556 14:0.591159 15:0.265957 16:0.957471 17:0.887677 18:0.607264 19:0.516554 20:0.687582
9 1:0.431766 2:0.74759 3:0.967155 4:0.1649 5:1.30742 6:0.503851 7:1.71581 8:0.664829 9:2.35628 10:0.578359 11:0.16557 12:0.539136 13:0.872103 14:0.784129 15:0.37925 16:0.974625 17:0.753252 18:0.486348 19:0.400728 20:0.577238
9 1:0.497358 2:0.762619 3:1.07987 4:0.17541 5:1.37951 6:0.430657 7:1.81973 8:0.565788 9:2.33335 10:0.549068 11:0.208898 12:0.519089 13:0.886785 14:0.679024 15:0.321081 16:1.01807 17:0.914164 18:0.664187 19:0.556669 20:0.67854
13 1:0.162705 2:0.63164 3:1.13886 4:-0.197443 5:1.40988 6:-0.0280013 7:1.81212 8:0.13826 9:2.48264 10:0.116681 11:0.0300572 12:0.183953 13:0.820103 14:0.689261 15:0.461136 16:1.906 17:1.833 18:0.357472 19:0.37967 20:0.603556
13 1:1.15478 2:0.0553614 3:1.22822 4:0.0451556 5:1.36247 6:-0.0117201 7:1.69612 8:-0.0685821 9:2.25729 10:0.0547974 11:1.26114 12:0.211553 13:0.367441 14:0.200796 15:0.432712 16:2.00175 17:1.74875 18:1.52918 19:0.379221 20:0.541991
13 1:0.307642 2:0.539348 3:1.36457 4:-0.15793 5:1.3848 6:0.175785 7:1.57174 8:0.489639 9:2.14764 10:0.523009 11:0.10699 12:0.120002 13:0.740131 14:0.803617 15:0.695352 16:1.32536 17:1.56097 18:0.497556 19:0.379845 20:0.463811
13 1:0.0745476 2:0.719795 3:1.23445 4:-0.144623 5:1.38755 6:0.1439 7:1.77488 8:0.512129 9:2.26776 10:0.497736 11:0.0967624 12:0.158617 13:0.691094 14:0.739188 15:0.485425 16:1.60002 17:1.70452 18:0.434923 19:0.390708 20:0.549583
13 1:0.163642 2:0.644967 3:1.36502 4:-0.141513 5:1.48112 6:0.163882 7:1.81622 8:0.458591 9:2.23268 10:0.420249 11:0.0720689 12:0.123767 13:0.620448 14:0.648704 15:0.506411 16:1.52889 17:1.55598 18:0.4237 19:0.345117 20:0.433544
1 1:0.270001 2:0.404366 3:1.10578 4:-0.116352 5:1.61047 6:-0.164408 7:1.97243 8:-0.0840802 9:2.38094 10:-0.00593281 11:0.117057 12:0.152795 13:0.093977 14:0.196285 15:0.256084 16:1.31482 17:1.67172 18:1.80675 19:1.64322 20:1.32046
1 1:0.178593 2:0.201254 3:1.10821 4:-0.136832 5:1.61794 6:-0.0588157 7:1.95579 8:0.0903929 9:2.37149 10:0.221608 11:0.124045 12:0.157309 13:0.0940272 14:0.176592 15:0.253581 16:1.39295 17:1.74686 18:1.82386 19:1.70693 20:1.4616
1 1:0.132121 2:0.232507 3:1.02062 4:-0.141078 5:1.47957 6:-0.0594808 7:1.84701 8:0.0999657 9:2.21703 10:0.23104 11:0.083661 12:0.125232 13:0.054196 14:0.172641 15:0.220488 16:1.42641 17:1.68491 18:1.79654 19:1.64185 20:1.46371
1 1:0.125545 2:0.510078 3:1.0166 4:0.0451468 5:1.51432 6:0.0476682 7:1.85649 8:0.105218 9:2.28435 10:0.111977 11:0.107544 12:0.115454 13:0.0325262 14:0.131493 15:0.195841 16:1.54536 17:1.77443 18:1.87964 19:1.68519 20:1.45748
